City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
150,Keti Bandar,PK,24.1447,67.4497,64.08,39,51,11.95,broken clouds,2022-01-16 22:00:17
151,Seoul,KR,37.5683,126.9778,15.24,38,0,3.67,clear sky,2022-01-16 22:00:17
152,Kailua,US,21.4022,-157.7394,81.07,67,0,3.0,clear sky,2022-01-16 22:00:18
153,Constantine,DZ,36.365,6.6147,35.01,80,0,0.0,clear sky,2022-01-16 21:58:41
154,Saskylakh,RU,71.9167,114.0833,-24.77,94,8,12.64,clear sky,2022-01-16 22:00:19
155,Mamit,IN,23.9333,92.4833,47.25,90,0,2.1,clear sky,2022-01-16 22:00:19
156,Lincoln,US,40.8,-96.667,48.58,64,55,5.01,broken clouds,2022-01-16 21:55:22
157,San Cristobal,VE,7.7669,-72.225,81.05,43,27,0.58,scattered clouds,2022-01-16 22:00:20
158,Umm Kaddadah,SD,13.6017,26.6876,64.02,24,28,17.0,scattered clouds,2022-01-16 22:00:20
159,Sisimiut,GL,66.9395,-53.6735,10.36,82,100,11.65,overcast clouds,2022-01-16 22:00:21
160,Majene,ID,-3.5403,118.9707,76.57,82,100,4.83,overcast clouds,2022-01-16 22:00:21
161,Yunyang,CN,33.4474,112.7142,36.55,69,62,4.72,broken clouds,2022-01-16 22:00:21
162,Sur,OM,22.5667,59.5289,69.85,76,0,12.5,clear sky,2022-01-16 22:00:22
